id;name;description;price;nit
8735020210;Pork Loin Bine - In Frenched;Upgradable logistical software;14636;1234567890
0892440287;Wine - Red, Black Opal Shiraz;Synergized discrete application;17568;1234567890
4800383676;Pate - Cognac;Visionary homogeneous knowledge user;18786;6036320841
4759789693;Flour - Masa De Harina Mexican;Multi-layered background system engine;24116;1987654321
4405951179;Bread - 10 Grain;Total intermediate service-desk;23769;1002003004
8114817828;Container Clear 8 Oz;Managed mission-critical customer loyalty;20892;1987654321
8063618734;Cheese - Cambozola;Switchable object-oriented groupware;21505;7382927498
2519739576;Bread - Flat Bread;Profound mobile definition;18228;6036320841
4753511634;Jam - Blackberry, 20 Ml Jar;Assimilated bifurcated adapter;6668;4533885810
9078856009;Soup - Verve - Chipotle Chicken;User-centric maximized focus group;15960;7537069158
4353954865;Wine - Red, Cooking;Multi-layered content-based hardware;1231;4533885810
2574993152;Sauce - Chili;Progressive web-enabled solution;20713;6036320841
5703591821;Chives - Fresh;Cloned bi-directional utilisation;11059;7382927498
7053908321;Beef - Cooked, Corned;Optimized static contingency;17566;6036320841
8661605385;Oil - Sesame;Ameliorated 24 hour complexity;11889;1234567890
5987276527;Crush - Cream Soda;Decentralized leading edge hub;5098;1987654321
8728265262;Zucchini - Green;Object-based non-volatile approach;20251;1234567890
6652525836;Chocolate - Liqueur Cups With Foil;Managed methodical workforce;13215;6036320841
2414780258;Oil - Macadamia;Multi-lateral background instruction set;21348;1002003004
2882338155;Compound - Mocha;Triple-buffered reciprocal analyzer;19598;1234567890
6374894413;Cornstarch;Cross-platform intangible product;2791;7537069158
6486288264;Soup - Cream Of Broccoli;Synergistic bandwidth-monitored internet solution;20650;1987654321
5682561422;Tea - Grapefruit Green Tea;Re-contextualized stable hardware;19282;1987654321
1882752627;Tomatoes - Vine Ripe, Yellow;Optimized motivating moderator;16208;7382927498
4934828664;Pasta - Penne Primavera, Single;Cross-platform bandwidth-monitored architecture;15936;7382927498
4246876542;Wheat - Soft Kernal Of Wheat;Multi-lateral regional standardization;8526;4533885810
1738033031;Persimmons;Synchronised well-modulated product;15023;4533885810
7689989713;Salt - Rock, Course;Digitized neutral frame;13395;6036320841
3999241284;Beans - Soya Bean;Polarised dynamic support;14039;1987654321
5091909222;Wine - Gewurztraminer Pierre;Synchronised cohesive collaboration;15379;7382927498
